date,nifty_trades,banknifty_trades,nifty_realized_pnl,banknifty_realized_pnl,combined_realized_pnl
2022-11-01,688,952,-0.30,-57.10,-57.40
2022-11-02,1024,1052,27.60,52.70,80.30
2022-11-03,1092,1024,-81.10,-257.35,-338.45
2022-11-04,788,1124,-50.35,-41.55,-91.90
2022-11-07,512,768,-32.10,-105.20,-137.30
2022-11-09,1168,1216,56.10,-61.45,-5.35
2022-11-10,292,792,-14.15,-191.75,-205.90
2022-11-11,1196,992,-24.50,-87.05,-111.55
2022-11-14,380,1168,-2.55,-10.55,-13.10
2022-11-15,316,576,-45.60,-53.10,-98.70
2022-11-16,796,1368,15.55,-11.75,3.80
2022-11-17,744,468,5.80,-95.50,-89.70
2022-11-18,416,296,-26.15,-70.85,-97.00
2022-11-21,576,644,-33.70,-94.00,-127.70
2022-11-22,324,480,-29.35,-63.90,-93.25
2022-11-23,684,432,-26.75,-32.50,-59.25
2022-11-24,972,872,-15.25,-72.90,-88.15
2022-11-25,916,860,-32.90,-0.15,-33.05
2022-11-28,1360,1088,-39.65,-68.75,-108.40
2022-11-29,520,376,-48.85,-59.55,-108.40
2022-11-30,984,396,-107.35,-139.95,-247.30
